;AIS_ID;admission_points;admissions_points_ext;education_achieved;sex;nationality;admission_from;study_programme;age;graduation_year;VŠP_štúdium;FYZ_B;OOP_B;PAM_B;PRPR_B;ZPRPR2_B;TZIV_B;ADM_B;AJ_B;MA_B;MIP_B;PPI_B;attd_FYZ_B;attd_OOP_B;attd_PRPR_B;attd_ZPRPR2_B;attd_TZIV_B;attd_ADM_B;attd_AJ_B;attd_MA_B;attd_MIP_B;attd_PPI_B;end_type;school_general_rating;school_math_rating;school_foreign_lang_rating;school_university_admissions_rating;school_finance_sources_rating;school_pedagogical_team
0;5743;86.7;FALSE;5;0;1;1;0;28;2010.0;2.2;4.0;4.0;4.0;1.0;0.0;0.0;1.0;1.5;3.0;4.0;2.0;7;6;12;0;0;0;7;0;9;11;0;6.67;7.2;6.17;7.42;7.5;1.00
1;72014;79.3;FALSE;5;0;1;2;0;26;2013.0;2.17;2.0;2.0;2.0;3.0;0.0;0.0;1.5;2.0;2.0;2.5;1.5;0;11;12;0;0;11;11;0;9;12;1;6.67;7.2;6.17;7.42;7.5;1.00
2;74332;90.9;FALSE;5;0;1;2;0;25;2014.0;1.58;0.0;1.5;1.5;1.5;0.0;0.0;1.0;1.5;1.0;1.0;1.5;0;11;12;0;0;11;11;0;9;12;1;6.67;7.2;6.17;7.42;7.5;1.00
3;79488;61.5;FALSE;5;0;1;2;0;25;2015.0;2.24;2.0;3.0;2.0;2.5;0.0;3.0;2.5;1.5;2.0;2.0;1.5;12;12;12;0;11;0;13;0;9;12;1;6.67;7.2;6.17;7.42;7.5;1.00
4;79567;87.9;TRUE;5;1;1;2;0;24;2015.0;2.33;0.0;0.0;0.0;4.0;0.0;0.0;4.0;3.0;2.5;1.5;4.0;0;0;9;0;0;0;10;0;0;12;0;6.67;7.2;6.17;7.42;7.5;1.00
5;86063;72.0;FALSE;5;0;1;2;0;24;2016.0;2.39;3.0;3.0;2.0;4.0;0.0;2.5;2.5;2.0;2.0;2.0;2.5;12;11;20;0;9;0;12;0;10;12;0;6.67;7.2;6.17;7.42;7.5;1.00
6;87149;66.5;FALSE;5;0;1;2;0;23;2016.0;2.47;4.0;2.5;1.5;3.0;0.0;3.0;3.0;1.0;2.5;1.5;2.0;11;12;12;0;0;0;13;25;11;12;0;6.67;7.2;6.17;7.42;7.5;1.00
7;91994;56.5;FALSE;5;1;1;1;0;23;2016.0;2.55;4.0;4.0;2.0;3.0;0.0;4.0;3.0;1.5;3.0;1.5;2.0;13;12;19;0;10;6;12;13;2;12;0;6.67;7.2;6.17;7.42;7.5;1.00
8;92104;80.6;FALSE;5;0;1;2;0;22;2017.0;2.9;4.0;4.0;2.5;3.0;0.0;4.0;3.0;2.5;4.0;3.0;3.0;12;9;20;0;9;13;11;11;0;12;0;6.67;7.2;6.17;7.42;7.5;1.00
